"0","10101100","10100000","00000010","10011110","11000000","10101000","00000001","00101101","0000000000011001","00000110"
"0","10101100","10100000","00000010","00000111","11001011","11011110","11001001","00111011","0000000000010110","00000110"
"1","11000000","10101000","00000001","00001000","11000000","10101000","00000001","01101111","0000000000011001","00000110"
"1","11000000","10101000","00000001","00001101","11000000","10101000","00000001","10100111","0000000000110101","00010001"
"0","11001011","11011110","11001001","10101110","10101100","10100000","00000010","00110000","0000000001010000","00000110"
"0","11001011","11011110","11001001","11101000","11000000","10101000","00000001","00011000","0000000000010111","00000110"
"0","11001011","11011110","11001001","10010001","10101100","10100000","00000010","01000000","0000000000010111","00000110"
"0","10101100","10100000","00000010","00110101","11000000","10101000","00000001","01010000","0000000000010110","00000110"
"1","10101100","10100000","00000010","00001101","10101100","10100000","00000010","11010100","0000000000010111","00000110"
"1","11000000","10101000","00000001","11111110","11000000","10101000","00000001","11111100","0000000000110101","00010001"
"0","11001011","11011110","11001001","01011110","11000000","10101000","00000001","11011010","0000000001010000","00000110"
"1","11000000","10101000","00000001","00001101","11000000","10101000","00000001","00010101","0000000000011001","00000110"
"1","10101100","10100000","00000010","11000001","10101100","10100000","00000010","10101110","0000000001010000","00000110"
"0","11000000","10101000","00000001","01110001","11001011","11011110","11001001","00000101","0000000000110101","00010001"
"1","11001011","11011110","11001001","10101100","11001011","11011110","11001001","11001001","0000000000010110","00000110"
"1","10101100","10100000","00000010","10100101","10101100","10100000","00000010","00010110","0000000000010110","00000110"
"1","10101100","10100000","00000010","00010000","11000000","10101000","00000001","11100001","0000000000010111","00000110"
"0","10101100","10100000","00000010","11011111","11000000","10101000","00000001","01001101","0000000001010000","00000110"
"1","11001011","11011110","11001001","10111000","11001011","11011110","11001001","01110101","0000000000010111","00000110"
"1","11000000","10101000","00000001","11110110","11001011","11011110","11001001","01111100","0000000000010101","00000110"
