"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"deny","192.168.70.210","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.204.73","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.228.61","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.163.57","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.171.218","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.7.41","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.15.122","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.51.254","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.161.248","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.176.63","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.44.16","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.81.92","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.169.163","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.166.29","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.174.208","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.173.217","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.29.209","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.168.13","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.175.46","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.167.144","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.79.161","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.64.147","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.234.44","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.169.143","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.228.109","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.126.189","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.166.36","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.168.183","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.163.91","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.102.23","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.165.64","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.167.188","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.172.65","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.161.111","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.121.161","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.110.90","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.160.37","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.173.83","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.20.250","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.168.5","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.254.7","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.162.123","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.68.77","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.55.108","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.220.242","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.169.105","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.160.189","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.234.182","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.174.245","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.26.123","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.171.207","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.232.31","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.228.13","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.187.110","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.1.246","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.70.120","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.120.42","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.172.177","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.27","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.171.240","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.253.225","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.115.171","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.167.74","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.147.89","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.160.79","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.164.30","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.96.58","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.95.24","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.241.205","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.20.232","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.172.172","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.198.228","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.141.218","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.217.127","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.226.13","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.24.132","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.151.181","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.103.93","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.167.135","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.168.220","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.152.96","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.191.67","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.243.105","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.166.127","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.141.75","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.90.152","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.166.132","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.225.247","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.128.126","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.161.196","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.139","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.172.149","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.228.133","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.48.54","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.161.104","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.173.219","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.171.70","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.7.239","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.169.89","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.20.179","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.17.176","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.172.38","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.167.142","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.170.157","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.163.215","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
