"Action","src1","src2","src3","src4","dst1","dst2","dst3","dst4","port","protocol"
"1","11000000","10101000","00000001","11101100","11000000","10101000","00000001","11110100","0000000000010101","00000110"
"1","11001011","11011110","11001001","10001100","11001011","11011110","11001001","11100100","0000000000110101","00010001"
"0","11000000","10101000","00000001","11000110","10101100","10100000","00000010","01010010","0000000000010111","00000110"
"0","10101100","10100000","00000010","00110001","11001011","11011110","11001001","11100111","0000000000010101","00000110"
"0","11001011","11011110","11001001","01111101","11000000","10101000","00000001","00000010","0000000001101110","00010001"
"0","11001011","11011110","11001001","10001001","10101100","10100000","00000010","11110001","0000000000010110","00000110"
"1","11000000","10101000","00000001","01111000","11000000","10101000","00000001","00100011","0000000000110101","00010001"
"0","11001011","11011110","11001001","10101011","11000000","10101000","00000001","11000111","0000000000010101","00000110"
"1","10101100","10100000","00000010","00111111","10101100","10100000","00000010","10111010","0000000001101110","00010001"
"0","11000000","10101000","00000001","10101110","10101100","10100000","00000010","01100100","0000000000010101","00000110"
"1","11000000","10101000","00000001","01101000","11000000","10101000","00000001","01010111","0000000000010111","00000110"
"0","10101100","10100000","00000010","10000011","11000000","10101000","00000001","00010100","0000000001101110","00010001"
"1","11001011","11011110","11001001","01010101","11001011","11011110","11001001","10101010","0000000000010111","00000110"
"0","11000000","10101000","00000001","11000100","11001011","11011110","11001001","11011101","0000000000110101","00010001"
"0","11000000","10101000","00000001","00010000","11001011","11011110","11001001","01110000","0000000001010000","00000110"
"0","11001011","11011110","11001001","01110010","10101100","10100000","00000010","11001100","0000000000010101","00000110"
"0","11001011","11011110","11001001","00111000","10101100","10100000","00000010","01000000","0000000000010101","00000110"
"0","11000000","10101000","00000001","01000001","10101100","10100000","00000010","10001101","0000000001010000","00000110"
"0","10101100","10100000","00000010","00010101","11001011","11011110","11001001","00110011","0000000001101110","00010001"
"1","11000000","10101000","00000001","11011000","11000000","10101000","00000001","01000011","0000000001101110","00010001"
"0","11001011","11011110","11001001","11101110","10101100","10100000","00000010","01100110","0000000000010101","00000110"
"1","11001011","11011110","11001001","10110101","10101100","10100000","00000010","00010100","0000000000110101","00010001"
"0","11001011","11011110","11001001","01111110","11000000","10101000","00000001","00110010","0000000000011001","00000110"
"0","10101100","10100000","00000010","01111011","11000000","10101000","00000001","01011011","0000000000010101","00000110"
"0","11001011","11011110","11001001","01100011","11000000","10101000","00000001","10101101","0000000001010000","00000110"
"0","10101100","10100000","00000010","01001000","11000000","10101000","00000001","11111001","0000000000110101","00010001"
"1","11001011","11011110","11001001","10111001","11001011","11011110","11001001","11001000","0000000000010101","00000110"
"1","11001011","11011110","11001001","01100000","11001011","11011110","11001001","01110110","0000000000010101","00000110"
"0","11000000","10101000","00000001","00111010","11001011","11011110","11001001","11110011","0000000001010000","00000110"
"1","11001011","11011110","11001001","01111100","11001011","11011110","11001001","01011000","0000000001101110","00010001"
"0","10101100","10100000","00000010","00000001","11001011","11011110","11001001","00101000","0000000000010110","00000110"
"1","10101100","10100000","00000010","11011111","10101100","10100000","00000010","11011011","0000000000010110","00000110"
"1","11001011","11011110","11001001","00100000","11001011","11011110","11001001","11110100","0000000000010111","00000110"
"1","10101100","10100000","00000010","01000010","10101100","10100000","00000010","10010111","0000000000010110","00000110"
"1","10101100","10100000","00000010","01011111","10101100","10100000","00000010","11011110","0000000001010000","00000110"
"0","10101100","10100000","00000010","00010000","11001011","11011110","11001001","00111000","0000000000010110","00000110"
"0","11000000","10101000","00000001","11010001","11001011","11011110","11001001","01100101","0000000000010111","00000110"
"0","10101100","10100000","00000010","11001010","11001011","11011110","11001001","11111011","0000000000010110","00000110"
"0","11000000","10101000","00000001","01101111","10101100","10100000","00000010","01110000","0000000001010000","00000110"
"0","11000000","10101000","00000001","10001110","10101100","10100000","00000010","00000110","0000000001101110","00010001"
"0","10101100","10100000","00000010","11001111","11001011","11011110","11001001","00111000","0000000000110101","00010001"
"0","11001011","11011110","11001001","00100010","11000000","10101000","00000001","11100001","0000000001010000","00000110"
"0","11001011","11011110","11001001","01100110","11000000","10101000","00000001","00010000","0000000000110101","00010001"
"0","10101100","10100000","00000010","01111100","11000000","10101000","00000001","11110000","0000000000110101","00010001"
"0","10101100","10100000","00000010","00001111","11000000","10101000","00000001","01111001","0000000001101110","00010001"
"0","11000000","10101000","00000001","11100101","11001011","11011110","11001001","00001101","0000000001101110","00010001"
"0","11000000","10101000","00000001","10111000","11001011","11011110","11001001","00100000","0000000001101110","00010001"
"1","11001011","11011110","11001001","01110101","11001011","11011110","11001001","01001011","0000000000010111","00000110"
"1","10101100","10100000","00000010","01110110","11000000","10101000","00000001","01010000","0000000000010111","00000110"
"0","11001011","11011110","11001001","10100001","10101100","10100000","00000010","10000110","0000000000010111","00000110"
"1","11000000","10101000","00000001","01111111","11000000","10101000","00000001","01010000","0000000000010101","00000110"
"0","11000000","10101000","00000001","00010100","11001011","11011110","11001001","01011111","0000000001101110","00010001"
"1","11001011","11011110","11001001","11101100","10101100","10100000","00000010","11101100","0000000000110101","00010001"
"0","11001011","11011110","11001001","01100011","10101100","10100000","00000010","11001010","0000000001101110","00010001"
"0","11000000","10101000","00000001","01010011","11001011","11011110","11001001","00110011","0000000001101110","00010001"
"0","10101100","10100000","00000010","10000010","11001011","11011110","11001001","01110100","0000000000010111","00000110"
"0","11000000","10101000","00000001","01000000","11001011","11011110","11001001","10101111","0000000000110101","00010001"
"1","11000000","10101000","00000001","10000100","11000000","10101000","00000001","10010001","0000000000110101","00010001"
"0","11000000","10101000","00000001","11100111","10101100","10100000","00000010","11100111","0000000000010101","00000110"
"0","11000000","10101000","00000001","11001001","10101100","10100000","00000010","00010001","0000000001010000","00000110"
"0","11001011","11011110","11001001","10001011","11000000","10101000","00000001","10101001","0000000000011001","00000110"
"1","11000000","10101000","00000001","01000000","11000000","10101000","00000001","11110011","0000000000010101","00000110"
"1","11000000","10101000","00000001","10010000","11000000","10101000","00000001","10001010","0000000000110101","00010001"
"0","11000000","10101000","00000001","00011100","11001011","11011110","11001001","10111010","0000000000010110","00000110"
"0","11001011","11011110","11001001","01100000","10101100","10100000","00000010","11100100","0000000000010110","00000110"
"1","11000000","10101000","00000001","10111110","11000000","10101000","00000001","01001011","0000000001010000","00000110"
