"Action","src1","src2","src3","src4","dst1","dst2","dst3","dst4","port","protocol"
"0","11000000","10101000","00000001","01001010","11001011","11011110","11001001","00011011","0000000001101110","00010001"
"1","10101100","10100000","00000010","00010001","10101100","10100000","00000010","10001110","0000000000010110","00000110"
"0","11001011","11011110","11001001","10010101","10101100","10100000","00000010","11011100","0000000001010000","00000110"
"1","10101100","10100000","00000010","10111000","10101100","10100000","00000010","00011010","0000000000010110","00000110"
"0","11000000","10101000","00000001","11100100","10101100","10100000","00000010","10011101","0000000000011001","00000110"
"1","10101100","10100000","00000010","10101001","10101100","10100000","00000010","00100000","0000000001101110","00010001"
"1","10101100","10100000","00000010","00010111","10101100","10100000","00000010","01000101","0000000000010101","00000110"
"0","11001011","11011110","11001001","01011100","10101100","10100000","00000010","01001000","0000000000010110","00000110"
"0","11001011","11011110","11001001","00110100","11000000","10101000","00000001","01010111","0000000000011001","00000110"
"1","11000000","10101000","00000001","11111001","11001011","11011110","11001001","10110111","0000000000011001","00000110"
"0","11001011","11011110","11001001","10001011","11000000","10101000","00000001","01100001","0000000000110101","00010001"
"0","11000000","10101000","00000001","10110010","10101100","10100000","00000010","10010110","0000000001101110","00010001"
"0","11001011","11011110","11001001","01111001","10101100","10100000","00000010","10010001","0000000001101110","00010001"
"1","10101100","10100000","00000010","10001101","10101100","10100000","00000010","10000100","0000000001101110","00010001"
"1","11000000","10101000","00000001","11100001","11000000","10101000","00000001","00100100","0000000000010111","00000110"
"0","11001011","11011110","11001001","11111010","10101100","10100000","00000010","01111000","0000000001010000","00000110"
"1","11000000","10101000","00000001","01101110","11001011","11011110","11001001","00001101","0000000000011001","00000110"
"0","10101100","10100000","00000010","11110100","11001011","11011110","11001001","11010010","0000000000010111","00000110"
"0","10101100","10100000","00000010","10001000","11000000","10101000","00000001","01110000","0000000000110101","00010001"
"0","11001011","11011110","11001001","11101100","11000000","10101000","00000001","01001101","0000000000110101","00010001"
"1","11000000","10101000","00000001","01011100","11000000","10101000","00000001","10011110","0000000000011001","00000110"
"1","11001011","11011110","11001001","00010111","11001011","11011110","11001001","01111000","0000000001010000","00000110"
"1","10101100","10100000","00000010","10111010","10101100","10100000","00000010","11101000","0000000001010000","00000110"
"1","11000000","10101000","00000001","11000010","11000000","10101000","00000001","01011010","0000000000010111","00000110"
"0","11001011","11011110","11001001","10111010","11000000","10101000","00000001","01001111","0000000000010111","00000110"
"1","10101100","10100000","00000010","00011101","10101100","10100000","00000010","00101111","0000000001101110","00010001"
"1","11000000","10101000","00000001","10010111","11000000","10101000","00000001","11000000","0000000000010110","00000110"
"0","10101100","10100000","00000010","01100010","11000000","10101000","00000001","00110111","0000000001101110","00010001"
"1","10101100","10100000","00000010","11001001","10101100","10100000","00000010","01111000","0000000000010110","00000110"
"0","10101100","10100000","00000010","01010011","11001011","11011110","11001001","11000011","0000000000010111","00000110"
"1","11001011","11011110","11001001","11101101","11001011","11011110","11001001","00001001","0000000001010000","00000110"
"0","11001011","11011110","11001001","10011111","10101100","10100000","00000010","10000110","0000000001101110","00010001"
"0","11000000","10101000","00000001","11010000","10101100","10100000","00000010","00111110","0000000000010111","00000110"
"0","11000000","10101000","00000001","10101000","10101100","10100000","00000010","01011100","0000000000010110","00000110"
"1","10101100","10100000","00000010","11111001","10101100","10100000","00000010","00100010","0000000000010111","00000110"
"0","10101100","10100000","00000010","00000110","11000000","10101000","00000001","01111111","0000000000010101","00000110"
"0","10101100","10100000","00000010","01100110","11000000","10101000","00000001","11010001","0000000001101110","00010001"
"0","11000000","10101000","00000001","00110111","11001011","11011110","11001001","00110100","0000000000010111","00000110"
"0","10101100","10100000","00000010","00001010","11000000","10101000","00000001","00100010","0000000000110101","00010001"
"1","10101100","10100000","00000010","01100011","10101100","10100000","00000010","11001011","0000000001010000","00000110"
"0","10101100","10100000","00000010","00001110","11001011","11011110","11001001","10110010","0000000001010000","00000110"
"0","11000000","10101000","00000001","11011001","10101100","10100000","00000010","10010111","0000000001010000","00000110"
"0","11001011","11011110","11001001","11101011","11000000","10101000","00000001","11100000","0000000000010111","00000110"
"0","11001011","11011110","11001001","00011011","11000000","10101000","00000001","01010110","0000000000110101","00010001"
"1","11001011","11011110","11001001","00000111","11001011","11011110","11001001","11011110","0000000001010000","00000110"
"1","11001011","11011110","11001001","00101110","11001011","11011110","11001001","10011001","0000000000010111","00000110"
"0","11001011","11011110","11001001","01000100","11000000","10101000","00000001","11111000","0000000000110101","00010001"
"0","10101100","10100000","00000010","01111010","11001011","11011110","11001001","00110111","0000000001101110","00010001"
"0","11000000","10101000","00000001","00111100","10101100","10100000","00000010","11000100","0000000000010101","00000110"
"0","11000000","10101000","00000001","00111010","10101100","10100000","00000010","10110010","0000000001010000","00000110"
"0","11000000","10101000","00000001","01100000","11001011","11011110","11001001","10011111","0000000001010000","00000110"
"0","11001011","11011110","11001001","00110100","10101100","10100000","00000010","10001111","0000000000010111","00000110"
"0","10101100","10100000","00000010","11101110","11001011","11011110","11001001","00100010","0000000000011001","00000110"
"0","10101100","10100000","00000010","00011100","11001011","11011110","11001001","01001001","0000000000011001","00000110"
"0","10101100","10100000","00000010","01010010","11000000","10101000","00000001","11011101","0000000001010000","00000110"
"0","10101100","10100000","00000010","10110011","11001011","11011110","11001001","11000000","0000000000110101","00010001"
"0","11001011","11011110","11001001","11010010","10101100","10100000","00000010","11111000","0000000001010000","00000110"
"0","11000000","10101000","00000001","00110011","10101100","10100000","00000010","11100010","0000000000010111","00000110"
"1","11001011","11011110","11001001","11010010","10101100","10100000","00000010","01101101","0000000000110101","00010001"
"0","10101100","10100000","00000010","00100010","11000000","10101000","00000001","01000010","0000000000010101","00000110"
"0","11000000","10101000","00000001","10000100","10101100","10100000","00000010","11011111","0000000000010110","00000110"
"1","11000000","10101000","00000001","01000110","11000000","10101000","00000001","00101001","0000000001010000","00000110"
"0","10101100","10100000","00000010","10010110","11001011","11011110","11001001","00001111","0000000000011001","00000110"
"0","11000000","10101000","00000001","01101110","11001011","11011110","11001001","00101110","0000000000010110","00000110"
"0","11000000","10101000","00000001","00010111","10101100","10100000","00000010","11010110","0000000000110101","00010001"
"1","11000000","10101000","00000001","10101000","11001011","11011110","11001001","01100110","0000000000010101","00000110"
"1","11000000","10101000","00000001","01010101","11000000","10101000","00000001","01100001","0000000000010111","00000110"
"1","10101100","10100000","00000010","11010000","10101100","10100000","00000010","10100010","0000000000010101","00000110"
"0","11000000","10101000","00000001","00100000","10101100","10100000","00000010","01110100","0000000000010101","00000110"
"0","10101100","10100000","00000010","01010010","11001011","11011110","11001001","10000000","0000000000110101","00010001"
"0","11000000","10101000","00000001","10110000","11001011","11011110","11001001","00111110","0000000000010111","00000110"
"0","11001011","11011110","11001001","00110010","10101100","10100000","00000010","01001001","0000000000011001","00000110"
"1","11001011","11011110","11001001","11010010","11001011","11011110","11001001","01111100","0000000000010110","00000110"
"0","11000000","10101000","00000001","01110000","11001011","11011110","11001001","00011111","0000000001101110","00010001"
"1","11000000","10101000","00000001","10011001","11001011","11011110","11001001","11011101","0000000000011001","00000110"
"1","10101100","10100000","00000010","11011110","10101100","10100000","00000010","00000101","0000000000110101","00010001"
"0","11000000","10101000","00000001","10000010","10101100","10100000","00000010","01110111","0000000000010111","00000110"
"0","10101100","10100000","00000010","10000011","11000000","10101000","00000001","11001110","0000000000011001","00000110"
"1","10101100","10100000","00000010","11011100","11000000","10101000","00000001","00011110","0000000000010111","00000110"
