"0","192.168.1.165","203.222.201.207","53","17"
"0","172.160.2.135","192.168.1.217","21","6"
"0","203.222.201.47","192.168.1.86","22","6"
"1","203.222.201.63","203.222.201.27","21","6"
"0","192.168.1.134","203.222.201.49","22","6"
"0","192.168.1.134","172.160.2.238","22","6"
"1","192.168.1.6","192.168.1.18","21","6"
"0","192.168.1.110","172.160.2.151","23","6"
"1","203.222.201.174","203.222.201.245","80","6"
"1","172.160.2.4","172.160.2.184","21","6"
"0","203.222.201.147","192.168.1.169","21","6"
"0","172.160.2.30","203.222.201.145","80","6"
"1","203.222.201.232","203.222.201.227","80","6"
"0","192.168.1.227","203.222.201.139","22","6"
"0","192.168.1.3","203.222.201.4","80","6"
"0","172.160.2.10","203.222.201.181","22","6"
"0","192.168.1.110","172.160.2.160","25","6"
"0","192.168.1.154","172.160.2.17","22","6"
"1","172.160.2.68","172.160.2.145","53","17"
"0","203.222.201.104","192.168.1.223","53","17"
"1","172.160.2.166","172.160.2.134","25","6"
"0","192.168.1.240","203.222.201.193","53","17"
"0","192.168.1.59","172.160.2.92","23","6"
"1","192.168.1.121","192.168.1.39","22","6"
"0","192.168.1.195","203.222.201.151","22","6"
"0","172.160.2.182","203.222.201.165","80","6"
"0","203.222.201.53","192.168.1.239","53","17"
"0","192.168.1.209","172.160.2.62","23","6"
"1","172.160.2.83","172.160.2.32","23","6"
"1","192.168.1.139","192.168.1.26","23","6"
"0","192.168.1.235","203.222.201.185","53","17"
"0","203.222.201.120","192.168.1.71","23","6"
"0","203.222.201.83","172.160.2.8","23","6"
"1","203.222.201.231","203.222.201.29","21","6"
"0","172.160.2.126","192.168.1.81","53","17"
"0","192.168.1.106","203.222.201.127","23","6"
"0","172.160.2.190","192.168.1.199","53","17"
"0","192.168.1.152","172.160.2.26","22","6"
"0","192.168.1.209","172.160.2.241","80","6"
"1","172.160.2.74","172.160.2.12","53","17"
