"1","11001011110111101100100100110100","11001011110111101100100110110011","0000000000011001","00000110"
"0","10101100101000000000001001001110","11001011110111101100100110110000","0000000000010101","00000110"
"0","10101100101000000000001011011011","11000000101010000000000100111010","0000000000011001","00000110"
"0","11001011110111101100100100111100","10101100101000000000001010110110","0000000000011001","00000110"
"1","10101100101000000000001000000011","10101100101000000000001000111110","0000000000011001","00000110"
"1","11000000101010000000000111011000","11000000101010000000000111010100","0000000000010101","00000110"
"1","11000000101010000000000100000010","11001011110111101100100101010000","0000000000010101","00000110"
"1","11000000101010000000000101001000","11001011110111101100100111110010","0000000000010101","00000110"
"0","11001011110111101100100111001001","10101100101000000000001000101001","0000000000010110","00000110"
"1","10101100101000000000001001101101","11000000101010000000000101000111","0000000000010111","00000110"
"1","11000000101010000000000100010111","11000000101010000000000111011000","0000000000110101","00010001"
"1","11000000101010000000000100100011","11000000101010000000000111000011","0000000001010000","00000110"
"1","10101100101000000000001000110110","10101100101000000000001011100011","0000000000010101","00000110"
"0","10101100101000000000001000100101","11001011110111101100100111100100","0000000001010000","00000110"
"0","11000000101010000000000110110100","10101100101000000000001010100010","0000000000010110","00000110"
"1","10101100101000000000001011000001","10101100101000000000001011101110","0000000000010111","00000110"
"1","10101100101000000000001001101001","10101100101000000000001011111110","0000000000010111","00000110"
"1","11000000101010000000000101101001","11000000101010000000000100110110","0000000000010111","00000110"
"0","11001011110111101100100100110010","11000000101010000000000110011100","0000000001010000","00000110"
"1","11001011110111101100100111000100","11001011110111101100100101010110","0000000000010110","00000110"
"1","11000000101010000000000110100101","11000000101010000000000100110010","0000000000011001","00000110"
"1","11001011110111101100100110010001","10101100101000000000001011010001","0000000000110101","00010001"
"0","10101100101000000000001011011000","11001011110111101100100111010000","0000000000011001","00000110"
"1","10101100101000000000001001101111","10101100101000000000001011100101","0000000000110101","00010001"
"1","11000000101010000000000110100100","11000000101010000000000100010001","0000000000010101","00000110"
"0","11001011110111101100100110101011","10101100101000000000001011100111","0000000001010000","00000110"
"1","10101100101000000000001000111001","10101100101000000000001001110100","0000000000010110","00000110"
"1","11001011110111101100100111000100","11001011110111101100100100111100","0000000000011001","00000110"
"0","11001011110111101100100101110100","10101100101000000000001010110001","0000000000010101","00000110"
"0","11001011110111101100100100101101","10101100101000000000001000011001","0000000000010110","00000110"
"0","11000000101010000000000101011110","10101100101000000000001001111001","0000000000011001","00000110"
"1","11000000101010000000000111011101","11000000101010000000000101111100","0000000001010000","00000110"
"0","10101100101000000000001011101101","11000000101010000000000111101100","0000000000010110","00000110"
"0","10101100101000000000001011100010","11000000101010000000000111100001","0000000000110101","00010001"
"1","10101100101000000000001010101010","10101100101000000000001000110100","0000000000010111","00000110"
"0","10101100101000000000001001001010","11001011110111101100100101011110","0000000000011001","00000110"
"0","11000000101010000000000101111001","10101100101000000000001000101001","0000000000110101","00010001"
"1","10101100101000000000001010000100","10101100101000000000001001000110","0000000000011001","00000110"
"0","11000000101010000000000101011010","10101100101000000000001011011111","0000000001010000","00000110"
"0","10101100101000000000001011010100","11000000101010000000000101010110","0000000000010101","00000110"
