"deny","203.222.201.70","172.160.2.67","23","6"
"allow","192.168.1.182","192.168.1.129","25","6"
"deny","172.160.2.204","203.222.201.157","21","6"
"deny","192.168.1.119","203.222.201.226","23","6"
"allow","203.222.201.63","203.222.201.223","53","17"
"deny","203.222.201.97","192.168.1.215","25","6"
"allow","192.168.1.61","203.222.201.201","25","6"
"deny","192.168.1.26","203.222.201.84","22","6"
"deny","172.160.2.180","192.168.1.82","25","6"
"deny","192.168.1.224","172.160.2.110","53","17"
"allow","203.222.201.182","203.222.201.30","25","6"
"deny","172.160.2.88","203.222.201.66","21","6"
"allow","172.160.2.52","172.160.2.235","23","6"
"allow","192.168.1.23","203.222.201.154","25","6"
"deny","192.168.1.123","172.160.2.83","25","6"
"deny","203.222.201.9","192.168.1.164","53","17"
"allow","172.160.2.123","192.168.1.55","23","6"
"deny","203.222.201.115","192.168.1.80","22","6"
"deny","203.222.201.73","172.160.2.175","23","6"
"deny","192.168.1.138","172.160.2.112","22","6"
"deny","203.222.201.90","172.160.2.215","22","6"
"allow","172.160.2.27","192.168.1.153","23","6"
"deny","192.168.1.129","203.222.201.62","23","6"
"deny","192.168.1.57","203.222.201.243","22","6"
"allow","192.168.1.137","192.168.1.90","53","17"
"allow","192.168.1.196","192.168.1.145","23","6"
"deny","172.160.2.187","203.222.201.189","21","6"
"deny","172.160.2.115","203.222.201.100","53","17"
"deny","172.160.2.114","203.222.201.18","21","6"
"allow","192.168.1.158","192.168.1.224","23","6"
"deny","203.222.201.56","192.168.1.147","21","6"
"allow","192.168.1.47","192.168.1.122","53","17"
"deny","203.222.201.32","192.168.1.159","53","17"
"allow","172.160.2.40","172.160.2.155","23","6"
"deny","203.222.201.212","192.168.1.26","53","17"
"allow","203.222.201.170","203.222.201.210","53","17"
"allow","203.222.201.101","203.222.201.92","53","17"
"deny","172.160.2.140","203.222.201.125","21","6"
"allow","203.222.201.8","203.222.201.198","22","6"
"allow","192.168.1.27","192.168.1.230","21","6"
"allow","192.168.1.18","192.168.1.209","22","6"
"deny","192.168.1.184","172.160.2.191","21","6"
"allow","192.168.1.11","192.168.1.66","25","6"
"deny","172.160.2.157","203.222.201.150","21","6"
"deny","203.222.201.83","172.160.2.107","21","6"
"allow","192.168.1.142","192.168.1.39","25","6"
"allow","192.168.1.94","203.222.201.176","21","6"
"allow","203.222.201.186","203.222.201.165","25","6"
"allow","192.168.1.5","192.168.1.178","21","6"
"deny","172.160.2.228","192.168.1.248","53","17"
"allow","172.160.2.71","172.160.2.89","21","6"
"allow","192.168.1.122","192.168.1.49","23","6"
"allow","192.168.1.254","203.222.201.157","25","6"
"deny","172.160.2.49","192.168.1.138","53","17"
"deny","203.222.201.234","172.160.2.66","53","17"
"deny","172.160.2.46","203.222.201.173","22","6"
"deny","203.222.201.197","172.160.2.99","53","17"
"deny","203.222.201.208","192.168.1.18","22","6"
"deny","203.222.201.44","192.168.1.86","53","17"
"deny","192.168.1.98","203.222.201.107","53","17"
"allow","192.168.1.26","203.222.201.177","21","6"
"allow","203.222.201.25","203.222.201.34","22","6"
"allow","192.168.1.84","203.222.201.74","25","6"
"allow","172.160.2.205","172.160.2.153","21","6"
"deny","192.168.1.91","203.222.201.116","53","17"
"deny","172.160.2.186","192.168.1.178","53","17"
"allow","203.222.201.243","203.222.201.140","23","6"
"deny","192.168.1.44","172.160.2.78","23","6"
"allow","172.160.2.246","172.160.2.172","25","6"
"deny","172.160.2.247","203.222.201.141","22","6"
"allow","172.160.2.160","172.160.2.103","23","6"
"allow","203.222.201.83","203.222.201.216","53","17"
"allow","192.168.1.114","192.168.1.62","25","6"
"deny","172.160.2.23","203.222.201.179","22","6"
"deny","172.160.2.188","203.222.201.227","53","17"
"allow","192.168.1.148","192.168.1.78","53","17"
"deny","192.168.1.137","172.160.2.219","21","6"
"allow","172.160.2.243","172.160.2.41","23","6"
"deny","172.160.2.144","203.222.201.70","22","6"
"deny","203.222.201.148","192.168.1.45","53","17"
"deny","203.222.201.149","192.168.1.87","23","6"
"deny","203.222.201.222","192.168.1.132","21","6"
"deny","172.160.2.113","203.222.201.25","25","6"
"deny","192.168.1.245","203.222.201.168","53","17"
"deny","203.222.201.127","192.168.1.237","53","17"
"allow","172.160.2.136","172.160.2.208","21","6"
"deny","203.222.201.191","192.168.1.228","25","6"
"allow","192.168.1.229","192.168.1.245","21","6"
"allow","192.168.1.214","203.222.201.157","25","6"
"deny","172.160.2.171","203.222.201.94","23","6"
"allow","203.222.201.51","203.222.201.165","22","6"
"allow","172.160.2.200","172.160.2.194","53","17"
"allow","192.168.1.252","203.222.201.129","21","6"
"deny","203.222.201.186","172.160.2.150","53","17"
"deny","192.168.1.129","203.222.201.122","22","6"
"allow","192.168.1.100","192.168.1.148","53","17"
"allow","203.222.201.238","203.222.201.126","21","6"
"allow","203.222.201.73","203.222.201.188","22","6"
"allow","172.160.2.216","192.168.1.212","23","6"
"allow","192.168.1.106","192.168.1.62","22","6"
