"Action","Source address","Source Mask","Destination address","Destination Mask","Port","Protocol"
"allow","192.168.1.228","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.107","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.213","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.93.3","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.121","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.81","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.136.167","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.136.212","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.150","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.156","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.110.7","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.1.163","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.91.204","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.70","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.27","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.24.48","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.75","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.117.204","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.209.197","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.112.73","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.253","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.133","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.2.45","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.222","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.3.47","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.134.36","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.40.184","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.193","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.247.221","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.1.177","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.211","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.104.108","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.63.113","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.39","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.213.168","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.32.48","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.82","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.222","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.45","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.184","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.200","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.59.154","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.254.239","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"deny","192.168.162.161","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.216.101","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"allow","192.168.1.189","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.124.133","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.162","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.244","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.157.158","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.242","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.229.13","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.1.59","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.221","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.245.63","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.147","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.48.154","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"deny","192.168.2.147","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.47.171","255.255.255.0","192.168.20.1","255.255.255.0","21","17"
"allow","192.168.1.161","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"allow","192.168.1.45","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
"deny","192.168.95.186","255.255.255.0","192.168.20.1","255.255.255.0","80","6"
"deny","192.168.202.167","255.255.255.0","192.168.20.1","255.255.255.0","80","17"
"allow","192.168.1.216","255.255.255.0","192.168.20.1","255.255.255.0","21","6"
