
"1","0100","0101","001010","01","0000000000000000","0000","0","00000000","11000000101010000011010011101100","0000000000010101","10101000101000001010000110000110","0000000001010000","00000110"
"1","0100","0101","001010","01","0000000000000000","0000","1","00000000","11000000101010000100111010110111","0000000000010101","10101000101000000101001001011010","0000000000010101","00000110"
"1","0100","0101","001010","11","0000000000000000","0000","1","00000000","11000000101010000000001101110011","0000000001010000","10101000101000000100001111111000","0000000000010101","00000110"
"1","0100","0101","001010","10","0000000000000000","0000","0","00000000","11000000101010000001100110010000","0000000000010101","10101000101000001010010001001111","0000000000010101","00000110"
"1","0100","0101","001010","01","0000000000000000","0000","1","00000000","11000000101010000010111100001100","0000000000010101","10101000101000000010100101011110","0000000000010101","00000110"
"1","0100","0101","001010","01","0000000000000000","0000","0","00000000","11000000101010000010101111111111","0000000001010000","10101000101000000100001001000000","0000000001010000","00000110"
"1","0100","0101","001010","11","0000000000000000","0000","0","00000000","11000000101010000001100101101111","0000000001010000","10101000101000000000000000111111","0000000001010000","00000110"
"1","0100","0101","001010","10","0000000000000000","0000","0","00000000","11000000101010001101001010101011","0000000000010101","10101000101000001010100001001000","0000000001010000","00000110"
"1","0100","0101","001010","10","0000000000000000","0000","1","00000000","11000000101010000000000011101101","0000000001010000","10101000101000000110110010010101","0000000000010101","00000110"
"1","0100","0101","001010","11","0000000000000000","0000","1","00000000","11000000101010000001011010101000","0000000001010000","10101000101000001001010001010101","0000000001010000","00000110"
